auftauchen;to bob up
Zustimmung|Einverständnis;consent
mürrisch|verdrießlich;glum
energisch|heftig|kräftig;vigorous
"Prieser der Sieben";septon
aderig|gemasert|marmoriert;veined
gedehnt/affektiert (sprechen);drawled
jmdm. dienen;to be attended by
gepolstert|ausgestopft|wulstig;padded
Knappe;squire
mutmaßen|unterstellen|vorraussetzen;presume
emailliert|einbrennlackiert;enameled
Verbindungspunkt;juncture
Drosselfleck|Kehlstück;gorget
Horn|Tülle;beak
Kohlenkorb|Schlepphund;corf
herumzappelnd;fidgeting
traurig|klagend;plaintively
Stollen|Manschettenknöpfe;studs
fein geschliffen;honed
flüchtig|oberflächlich|kursorisch;cursory
drehen|schwenken;to swivel
springed;leaping
Forelle;trout
verteidigen|hervorbringen|plädieren;to plead
etw. betrübt / bekümmert jdn.;sth. grieves so.
Außenhof|Burghof|Vorhof;bowley
Abfall|Müll;litter
windgepeitscht;windswept
Vorsprung|Überhang;jut
gequietscht|geknattert|erschüttert;jarred
Sockel|Fußleiste;plinth
Erstaunt|gestaffelt;staggered
Rübe|Weißrübe;turnip
Flaschenzug|Winde|Fahrstuhl;hoist
Stalldung|Dünger|Mist;manure
Hieb|Stoß;thrust
Gejohle;hooting
ergreifen|an sich packen|in Besitz nehmen|erobern;seize
niederprasselnd;pelting
sich befreien|sich losreißen;to wrench free
Flecken;stains
Furche|Schlund;gorge
launisch|nervös|schreckhaft;skittish
Steinmetz;mason
Tischler|Zimmermann;carpenter
herausgebrochen|gehauen;quarried
Stute;mare
Geächteter;outlaw
Maulkorb|Kanonenrohr|Ausguss;muzzle
Gipfel|Kranz|Wappen;crest
Kolonie|Krähenhorst;rookery
abgezielt|geneigt|gepflegt;tended
gebrechlich|zart|zerbrechlich;frail
Maulwurf|Leberfleck;mole
verkeilt|verkantet;wedged
fröhlich|lustig;merrily
gewandt|geschickt|flink;deft
Fall|Sturz|Durcheinander;tumble
Dunst|feiner Nebel;mist
verkünden|kundtun;to proclaim
schwach|kraftlos|matt;faint
erlassen|verfügt|verordnet;decreed
reißen|zerren|schleppen;to tug
Barthaar|Backenbart|Schnurrhaar;whiskers
so. who celebrates in disguise;mummer
getarnt|verschleiert;disguise
die Frace|das Affentheater;farce
widerwärtig|abscheulich|gemein;vile
schlüsselfertig|Schließer|Gefängniswärter;turnkey
borstig|stopplig;bristly
enthaupten|köpfen;behead
gezogen|befördert|weggehievt;hauled
umringed|umgeben;ringed
Staude|Strauch;shrub
Wehr - wood;weirwood
beherzt|mannhaft|tapfer;doughty
kaltblütig|gelassen;coolly
bucklig;humpbacked
scheckig|gemischt|zusammengewürfelt;motley
Spaß|Scherz;jest
kleines Stück;nibble
streitsüchtig;quarrelsome
die Gicht (Krankheit);gout
verarmt;impoverished
Bewerber|Verehrer|Freier;suitors
schwerfällig;ponderous
gereinigt|geschrubbt;scrubbed
Entgegenkommen|Zugeständnis;concession
quetschen|verletzen;to bruise
Festhalte-Ding;retainer
Bast|Samt;velvet
entstellt;garbled
eingebildet|aufgeblasen;vain
schüchtern|furchtsam;timid
rücksichtslos|unbekümmert;reckless
kauernd;squatting
Rinde|Baumrinde;bark
glimmen|glühen;to smolder
Saum|Falte;tuck
Beutel|Tasche;pouch
Kriecher|Speichellecker;toady
feilen;rasping
Kratzer|Schramme|Schürfwunde;scrape
Schulternzucken;shrug
Felshang|Steilhang;precipice
fad|schal|abgestanden;stale
Tranchierbrett|Grabenzieher;trencher
Fett|Schmiere|Schmieröl;grease
abwehrend;fending
jdn. ständig begleiten;to dog so.
Kleinbauer;crofter
Schaum|Seifenschaum;lather
auf etw. jagt machen;to prey on sth.
Gefängniswärter|Kerkermeister;gaoler
