他社|たしゃ;another company
社|やしろ;(shinto) shrine
自社|じしゃ;company one works for|one's own company
社史|しゃし;company history
社是|しゃぜ;mission statement|company policy
会社|かいしゃ;company|workplace
社員|しゃいん;company employee
記者|きしゃ;reporter
他者|たしゃ;another person
作者|さくしゃ;author
強者|つわもの;person of courage|strong man
読者|どくしゃ;reader
研ぐ|とぐ;to polish|to wash (rice)
研究|けんきゅう;research
研磨|けんま;polishing
究明|きゅうめい;investigation (research)|inquiry
宇宙|うちゅう;universe
究める|きわめる;to master|to study to full extreme|to thoroughly investigate
電|でん;electricity
電池|でんち;battery
語気|ごき;tone|speaking manner
野心|やしん|覇気|はき;ambition
色気|いろけ;shade of color|attraction to opposite sex
どうしたんですか;what's the matter?
心が動くね|こころがうごくね;that sounds tempting
動く|うごく;to move|to stir
気体|きたい;gas|vapor
空車|くうしゃ;free taxi
列車|れっしゃ;train
車庫|しゃこ;garage
