家|いえ;house
いいえ;no
絵|え;picture
ええ;yes
えいが;movie
英語|えいご;English
ドイツ語|ドイツご;German (language)
私はドイツ人です;I'm German
かご;basket
木|き;tree
子|こ;child (short word)
声|こえ;voice
明日|あした;tomorrow
朝|あさ;morning
いす;chair
いつ;when
うち;home
学生|がくせい;student
まちがい;mistake
方|かた;person (polite)
ぎし;engineer
そう;so...
大学|だいがく;university
つくえ;table
どう;how
どうぞ;welcome
はじめまして;Nice to meet you.
よろしくお願いします|よろしくおねがいします;Please treat me well.
十|じゅう;ten
今日|きょう;today
行く|いく;to go
行う|おこなう;do, perform
私たち|わたしたち;we
そうじき;vacuum cleaner
国|くに;country
あなた;you
あの人|あのひと;he|she
あの方|あのかた;he (polite)|she (polite)
犬|いぬ;dog
かべ;wall
ざっし;magazine
地図|ちず;map
ねこ;cat
はこ;box
花|はな;flower
人|ひと;person
ふで;brush
聞いてください|きいてください;Listen!
言ってください|いってください;Say!
答えてください|こたえてください;Answer!
おかけください;Sit down please!
どこからきましたか;Where do you come from?
何さいですか|なんさいですか;How old are you?
その通りです|そのとおりです;Exactly!
ぺこぺこ;I'm hungry!
よくできました;Well done.
耳|みみ;ear
いみ;sense
ねむい;sleepy
私はねむいです;I'm sleepy
紙|かみ;paper
きもの;kimono
教か書|きょうかしょ;text book
教室|きょうしつ;class room
手紙|てがみ;letter
まど;window
水|みず;water
休み|やすみ;holiday|rest
山|サン|やま;mountain
ゆか;floor
ようふく;clothes
はい;yes
直してください|なおしてください;correct it!
もういちどどうぞ;one more time!
お茶|おちゃ;tea
紅茶|こうちゃ;black tea
東京で何をしますか|とうきょうでなにをしますか;What do you do in Tokyo?
お名前|おなまえ;name
むだばなし;quatsch
本|ほん;book
れいぞうこ;fridge
かばん;bag|backpack
終わり|おわり;end
こくばん;blackboard
写真|しゃしん;foto
新聞|新ぶん|しんぶん;newspaper
先生|せんせい;teacher
電話|でんわ;telephone
番号|ばんごう;number
電話番号は何ですか|でんわばんごうはなんですか;What's your number?
日本|にほん;Japan
文れい|ぶんれい;example
べんきょう;study
皆さん|みなさん;Dear all
皆|みんな;everyone
いいえ、これはちがいます;No, it's different / not correct
わかりますか;Do you understand?
読んでください|よんでください;Read it, please    
日本語で話してください|にほんごではなしてください;Say it in Japanese, please.
むだづかい;wasted use 
ばか;stupid|idiot 
外人|がいじん;foreigner
ぼく;I
ではありません;isn't
Nは何ですか;What is N?
もちろんです;Of course, certainly
NはN2ですか;N2 (question word) is N?
だれ|どなた;who
さま;master (super-polite)
お金|おかね;money
ほんやくしてください;Translate, please!
歴史|れきし;history
けいざい;economy
医者|いしゃ;doctor
せんもん;specialty (subject of study)
これ;this
ペン;pen
あれ;that (but far)
たな;shelf
ドア;door
えんぴつ;pencil
一年生|いちねんせい;first year student
ノート;notebook
どれ;which
じ書|じしょ;dictionary
図書館|としょかん;library
文学部|ぶんがくぶ;literature department
とけい;watch
大学生|だいがくせい;university student
でんとう;lamp
おわりました;I understood
ありがとうございます;Thank you very much
どういたしまして;You're welcome
スイス;swiss
ソーセージ;sausage
アジア;asia
ウィスキ;whisky
クイズ;quiz
ココア;cocoa
サイズ;size
サカス;circus
センス;sense (foreign)
ソース;souce
エアコン;air conditioning
コイン;coin
サイエンス;science
ケーキ;cake
スキーウェア;ski wear
いとこ;cousin
すきな;favorite
のみもの;drink
すきなえいがは何ですか|すきなえいがはなんですか;What's your favorite movie?
母|はは;mother
お母さん|おかあさん;mother (polite)
父|ちち;father
お父さん|おとうさん;father (polite)
妹|いもうと;younger sister 
姉|あね;older sister
弟|おとうと;younger brother
兄|あに;older brother
むすこ;son
むすめ;daughter
留学生|りゅうがくせい;exchange student
この;this (thing)
たてもの;building
あそこ;over there (far)
ここ;here
その;this (thing) (yours)
あの;that (thing) (over there)
どこ;where
どの;which (thing)
部屋|へや;room
ちり学|ちりがく;geography
図書室|としょしつ;library room
グループ;group
アメリカ人;american person
チョーク;chalk
けしゴム;eraser
次|つぎ;next
授業|じゅぎょう;lesson
おはようございます;good morning
こんにちは;good day (good morning)
こんばんは;good evening
さようなら;goodbye
では|また;bye
これはほんやくしてください;Translate this, please
ぶつり学|ぶつりがく;physics
ちしつ学|ちしつがく;geology
しつ問|しつもん;question
かんたん;simple
むずかしい;difficult
おいしい;tasty
美しい|うつくしい;beautiful
とても;very
しゅくだい;homework
半分|はんぶん;half
しゅくだいをかくにんしましょう;Let's check homework
アレルギー;allergy
ユーザー;user
メニュー;menu
レポート;report
ワイシャツ;white shirt
ワンピース;one piece
さいご;last
私はNがあります;I have N
たくさん;a lot
赤い|あかい;red
青い|あおい;blue
寒い|さむい;cold
せまい;narrow
やさしい;easy
古い|ふるい;old
面白い|おもしろい;interesting
白い|しろい;white
つまらない;boring
長い|ながい;long
週|しゅう;week
毎週|まいしゅう;every week
今週|こんしゅう;this week
先週|せんしゅう;last week
どんな;which (characteristics)
すこし;a little
ちょっと;a little bit
あいにく;unfortunately
りんご;apple
東京|とうきょう;Tokyo|eastern capital
広い|ひろい;wide
近い|ちかい;close
高い|たかい;tall|expensive
茶色い|ちゃいろい;tea color|brown
新しい|あたらしい;new
あまり;not very
黄色い|きいろい;yellow
こちら;this way, this direction, here
こちらこそ;The pleasure is all mine
お宅|おたく;yours, your house
遠い|とおい;far (away)
良い|いい;good
明るい|あかるい;bright, light
黒い|くろい;black
緑色|みどりいろ;green
色|いろ;color
短い|みじかい;short
安い|やすい;cheap
ひくい;low, short
カメラ;camera
小さい|ちいさい;small
すこしも;not at all
ちっとも;not at all!!!
テキスト;text
ろうか;corridor
たいへん;very, greatly|enormously
もの;thing
では;So... then...
ねずみ;mouse
ねずみいろ;grey (mouse color)
みかん;mandarin
みかんいろ;mandarine color
もも;peach
ももいろ;peach color
オレンジ;orange
オレンジいろ;orange color
始めてください|はじめてください;please begin
全部|ぜんぶ;all, everything, entire
アダプタ;adapter
ロケット;rocket
エレベータ;elevator
スポーツ;sports
パン;bread
買う|かう;to buy
書く|かく;to write
急ぐ|いそぐ;to be in a hurry
話す|はなす;to speak
立つ|たつ;to stand
死ぬ|しぬ;to die
とぶ;to fly
飲む|のむ;to drink
売る|うる;to sell
ある;to be (things)
見る|みる;to see
いる;to be
食べる|たべる;to eat
える;to get/gain
走る|はしる;to run
入る|はいる;to enter
帰る|かえる;to return
する;to do
来る|くる;to come
指す|さす;to stab (pieken)
取る|とる;to take
今夜|こんや;this evening
時間|じかん;time
分|ぶん;minute
年|とし;year
遅い|おそい;late
早い|はやい;early|quick
時|じ;hour
夕|ゆう;evening
午後|ごご;afternoon
毎朝|まいあさ;every morning
起きる|おきる;to get up|to wake up
たいてい;mostly
午前|ごぜん;a.m.|before noon
始まる|はじまる;to begin
毎日|まいにち;every day
昼休み|ひるやすみ;lunch break
食堂|しょくどう;cafeteria|dining hall
時々|ときどき;sometimes
喫茶店|きっさてん;café
いそがしい;busy
毎晩|まいばん;every night
べんきょうする;to study
ねる;to sleep
今ど|こんど;this time
ゆっくり;slowly|at ease
うえの;Ueno, section of Tokyo
ふつう;usually|normally
また;also
何曜日|なんようび;What day of the week?
何時|なんじ;What time?
さんぽする;to take a walk
さんぽ;walk
夜|よる;night
今年|ことし;this year
その後で|そのあとで;after that
直ぐ|すぐ;immediately|soon
ぎんざ;Shopping district in Tokyo
クラブ;club
れん習|れんしゅう;practise
安心|あんしん;peace of mind
段々|だんだん;gradually|step by step
段|だん;step
動く|うごく;to move
研究|けんきゅう;research
じっけん;experiment
そつぎょう;graduation
悪化|あっか;deterioration|worsening
ほうそう;show|stream|broadcast
考える|かんがえる;to think
考え|かんがえ;thought
あそぶ;to play
のこる;to remain|to be left over
人々|ひとびと;people
ます;to increase
ますます;more and more
じぶん;yourself|your
かんぺき;perfect
まじめ;streber
間|あいだ;between
休けい|きゅうけい;break
自分|じぶん;myself
昨日|きのう;yesterday
直す|なおす;to correct
シャワ;shower
シャワを浴びる|シャワをあびる;to take a shower
歯をみがく|はをみがく;to brush teeth
ホーム・ステイ;home stay
門|もん;gate|entrance
松|まつ;pine tree
庭|にわ;(personal) garden
さくら;cherry (blossom) tree
竹|たけ;bamboo
池|いけ;pond
こい;koi
橋|はし;bridge
階|かい;story of a building
おうせつ間|おうせつま;european room
茶の間|ちゃのま;japanese living room
トイレ;toilet
おふろ;bathroom (jap. style)
右側|みぎがわ;right
左側|ひだりがわ;left
台所|だいどころ;kitchen
階段|かいだん;staircase
子ども|こども;child
日本間|にほんま;japanese room
たたみ;Tatami
おしいれ;closet (with sliding door)
本だな|ほんだな;book shelf
いくつ;how many
何階|なんがい;what floor?
よう間|ようま;western style room
よう式|ようしき;western style
日本式|にほんしき;japanese style
魚|さかな;fish
銀行|ぎんこう;bank
銀行家|ぎんこうか;banker
デパート;department store
公園|こうえん;public park
ビデオ;video
アルバム;album
からす;crow
パン屋|ぱんや;bakery
学校|がっこう;school
駅|えき;station
バナナ;banana
ベンチ;bench
かさ;umbrella
くつ;shoes
鳥|とり;bird
となり;near
そば;next to
後ろ|うしろ;behind
外|そと;outside
見つける|みつける;to find
さがす;to look for
けいたい電話|けいたいでんわ;mobile phone
太よう|たいよう;sun
一人で|ひとりで;alone
文法|ぶんぽう;grammar
イギリス;United Kingdom|Great Britain
天井|てんじょう;ceiling
コート;coat
ソファ;sofa
つかれる;to get tired
どうして;why
少ない|すくない;a few
私はよくねませんでした|わたしはよくねませんでした;I didn't sleep well
一昨日|おととい;the day before yesterday
せいこう;success
もどる;to be back
向かう|むかう;facing
たとえば;For example
パソコン;personal computer
自分で食事を作りますか|じぶんでしょくじをつくりますか;Do you make the meal yourself?
言ば|ことば;word
おもちゃ;toy
色々な|いろいろな;various
明後日|あさって;the day after tomorrow
作る|つくる;to make
Nについて;about N
食事|しょくじ;meal
始め|はじめ;beginning|start
はつおん;pronounciation
れん習|れんしゅう;exercise
文しょう|ぶんしょう;sentence|article
読む|よむ;to read
文けい|ぶんけい;sentence pattern|sentence example
出す|だす;to give|to put out
もう;already|yet
会話|かいわ;dialog|conversation
答える|こたえる;to answer
その他|そのほか;besides|otherwise
スピーチ;speech
事情|じじょう;situation
教える|おしえる;to teach
習う|ならう;to learn
講義|こうぎ;lecture
聞く|きく;to hear
間違える|まちがえる;to make a mistake
テープ;tape
ニュース;news
見せる|みせる;to show
おく;to place sth sw
歩く|あるく;to walk
足|あし;leg
手|て;hand
目|め;eye
口|くち;mouth
ごはん;cooked rice
多い|おおい;many
音|おと;sound
テレビ;television
本当|ほんとう;really
両親|りょうしん;parents
ラジオ;radio
答え|こたえ;answer
かく;to paint|to draw
テスト;test
せんたく;laundry
うでどけい;wrist watch
掃除|そうじ;cleaning
掃除する|そうじする;to clean
冬|ふゆ;winter
夏|なつ;summer
秋|あき;autumn
春|はる;spring
何時も|いつも;always
仕事|しごと;work
おみやげ;souvenirs
へんじ;reply
ひこうき;airplane
よい;good (how do you say it normally)
なぜ;why
果物|くだもの;fruits
果物屋|くだものや;fruit shop
愛|あい;love
歌|うた;song
行きたい|いきたい;(i) want to go
よかったです;it was good
りっぱな;fine|wonderful|sophisticated
かのじょ;girlfriend
私は走ります|わたしははしります;I run
書いてください|かいてください;Write it please!
いくら;how much
めしあがってください;Please eat! (politely)
二人|ふたり;Two persons
しずかな;quiet
ゆうめいな;famous|popular
音楽|おんがく;music
お菓子|おかし;sweets
へいわ;peace
なし;pear
きらいな;dislike
店|みせ;shop|store
しんせつな;kind|accommodating
店員|てんいん;clerk|shop assistant
好きな|すきな;to like
朝食|ちょうしょく;breakfast
洋食|ようしょく;western style meal
サンドイッチ;sandwich
たまご;eggs
ジュース;juice
飲む|のむ;to drink|to smoke
わ食|わしょく;japanese-style food
みそしる;miso soup
わかい;young
しかし;but|however
ハム・エッグ;ham and eggs
サラダ;salad
いっしょ;together
そして;and
大好きな|だいすきな;favorite
ウエイトレス;waitress
持ってくる|もってくる;bring
でも;but|however
インテリア;interior
すてきな;lovely
昼間|ひるま;daytime
にぎやかな;bustling|super busy
げんきな;healthy
きれいな;beautiful (thing)
まち;town
かき;Kaki-Frucht
きたない;dirty
ダンス;dance
ばら;rose
所|ところ;place
かなり;considerably|fairly
うるさい;noisy|loud
